ID,Name,Start time,Duration,Place,Address,Tickets link,Description 1,Hashtags,Prices lower,Prices upper,End time
15,Вечори на хуторі біля Диканьки,2023-02-21 19:00:00,230,Центр Довженка,"пр-т Червоної Калини, 81",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/68764,"21 лютого 2023 року Центр Довженка запрошує до себе глядачів на святкову виставу «Вечори на хуторі біля Диканьки» у Львові. Повісті однойменного літературного циклу М.В. Гоголя незмінно користуються особливою популярністю в Україні, оскільки всі їхні казково-містичні події відбуваються на цій землі. Крім того, в них можна розгледіти багато барвистих мотивів українського фольклору. Їх неодноразово екранізували та ставили на театральних підмостках, але в ніч перед Різдвом у нас все ж таки знайдеться, чим здивувати та порадувати глядача.",,200,280,2023-02-21 22:50:00
16,"Оксана Пекун, Павло Дворський з синами, Анатолій Гнатюк",2023-02-22 18:00:00,120,Центр Довженка,"пр-т Червоної Калини, 81",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100152385,"Співачка і телеведуча, народна артистка України Оксана Пекун постійно перебуває у вирі найактуальніших подій у країні. З початку великомасштабного вто",,290,550,2023-02-22 20:00:00
17,Артем Пивоваров,2023-02-13 19:00:00,120,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",https://widget.kontramarka.ua/uk/widget193site1008/widget/event/100154056,"Ми відчуваємо, що наші зустрічі зараз важливіші ніж будь-коли! Підтримка один одного, спілкування, обмін думками та енергією в такі важкі часи, які переживає наша Країна, наш Народ – це те, чого ми усі потребуємо найбільше! У всіх нас має бути надія на те, що нас чекає вільне та щасливе майбутне і ми маємо робити все можливе для того, щоб діти в Україні не плакали від жахів війни. Ми віримо в нашу Перемогу, ми віримо в наші Збройні Сили і підтримуємо наших Воїнів! Концерти Артема Пивоварова – це частина діяльності Артиста, спрямованої на підтримку ЗСУ.",,1200,1200,2023-02-13 21:00:00
18,Артем Пивоваров,2023-02-14 19:00:00,120,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",https://widget.kontramarka.ua/uk/widget193site1008/widget/event/100153492,"Ми відчуваємо, що наші зустрічі зараз важливіші ніж будь-коли! Підтримка один одного, спілкування, обмін думками та енергією в такі важкі часи, які переживає наша Країна, наш Народ – це те, чого ми усі потребуємо найбільше! У всіх нас має бути надія на те, що нас чекає вільне та щасливе майбутне і ми маємо робити все можливе для того, щоб діти в Україні не плакали від жахів війни. Ми віримо в нашу Перемогу, ми віримо в наші Збройні Сили і підтримуємо наших Воїнів! Концерти Артема Пивоварова – це частина діяльності Артиста, спрямованої на підтримку ЗСУ.",,1200,1200,2023-02-14 21:00:00
19,Марія Бурмака,2023-02-25 18:00:00,120,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",https://widget.kontramarka.ua/uk/widget193site1008/widget/event/100153116,"25 лютого запрошуємо вас на концерт Марії Бурмака до нічного клубу !FESTrepublic, який розташований у Львові по вулиці  Старознесенська, 24-26. В цьому концерті ви відчуєте Душу України, бо в піснях співачки багато що йде від самого серця, а воно належить Батьківщині.",,475,975,2023-02-25 20:00:00
20,KARNA,2023-03-10 19:00:00,120,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153859,"Скоро славетний гурт KARNA, який грає в унікальному стилі (гуцул-метал), відправляється у тур Польщею. Але перш ніж поїдуть гастролювати за кордон, вони зустрінуться з львів'янами 10 березня. І ви маєте встигнути на цю подію, бо хлопці планують виступити для вас з новою програмою ""ARKAN TOUR 2.0"".",#Метал ,539,799,2023-03-10 21:00:00
21,KOLA,2023-02-14 18:00:00,230,Клуб «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/72279,Лірична душа KOLA вперше з сольним концертом у Львові до Дня всіх Закоханих. Запрошуємо 14 лютого о 18:00 у Малевича.,,600,1100,2023-02-14 21:50:00
22,Зеновій Гучок,2023-02-15 19:00:00,120,Клуб «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget193site1008/widget/event/100154058,,,250,400,2023-02-15 21:00:00
23,Скрябін. Вечір пам'яті Кузьми,2023-02-23 18:00:00,120,Клуб «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153856,"Цього вечора у залі пануватиме атмосфера затишку та ностальгії. Для Вас виступить легендарний гурт ""Скрябін"" - музиканти, які понад 20 років були на сцені з Андрієм. Упродовж концерту лунатимуть безсмертні хіти Кузьми Скрябіна. Ви точно не втр",,400,650,2023-02-23 20:00:00
24,ТІК. Великий сольний концерт,2023-05-14 19:00:00,230,Клуб «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/63567,"Львів, зустрічай! Гурт «ТІК» їде!",#Поп ,380,1500,2023-05-14 22:50:00
25,Німецький віртуоз Якобус Ґладзіва,2023-02-02 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71175,Виконавець:,#Класика ,100,200,2023-02-02 20:00:00
26,Німецький віртуоз Якобус Ґладзіва,2023-02-03 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71176,Виконавець:,#Класика ,100,200,2023-02-03 20:00:00
27,Органна музика бароко. Олена Мацелюх,2023-02-04 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71686,Барокова музика дивує багатством образів та розмаїттям почуттів. Головним інструментом і символом бароко вважається орган.,#Класика ,100,200,2023-02-04 20:00:00
28,Музика Баха. Сергій Павлів,2023-02-05 14:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71687,"Творчість Баха завжди наповнює силою і бажанням жити. Нова програма органіста Сергія Павліва підтверджує, що музика Йоганна Себастьяна щоразу відкривається з нових сторін. Можна скільки завгодно разів слухати хорали, токати, фантазії та фуги великого композитора на YouTube, але жоден запис не зможе передати відчуттів від живого органного виконання. Коли вібрацію від майже пʼяти тисячі труб відчуваєш всім тілом! Запрошуємо насолодитися довершеною поліфонією Баха і потужним звучанням львівського органа.",#Класика ,100,200,2023-02-05 15:00:00
29,Музика Баха. Сергій Павлів,2023-02-25 17:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71741,"Творчість Баха завжди наповнює силою і бажанням жити. Нова програма органіста Сергія Павліва підтверджує, що музика Йоганна Себастьяна щоразу відкривається з нових сторін. Можна скільки завгодно разів слухати хорали, токати, фантазії та фуги великого композитора на YouTube, але жоден запис не зможе передати відчуттів від живого органного виконання. Коли вібрацію від майже пʼяти тисячі труб відчуваєш всім тілом! Запрошуємо насолодитися довершеною поліфонією Баха і потужним звучанням львівського органа.",#Класика ,100,200,2023-02-25 18:00:00
30,Такуя Шігешіта. Симфонічний концерт,2023-02-05 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71520,Східний погляд на європейську музику. Луганський симфонічний оркестр і дириґент з Японії Такуя Шігешіта здивують інтерпретацією симфоній чеха Антоніна Дворжака та укр,#Класика ,100,200,2023-02-05 20:00:00
31,Місячна соната,2023-02-09 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71688,"Дивовижної краси програма від провідного піаніста Львівського органного залу Андрія Макаревича, яка дихає життям і наповнює ним кожного, хто чує її звуки. Цього вечора слухаємо виключно сонати, і виключно геніїв.",,100,200,2023-02-09 20:00:00
32,Органний речиталь Сергія Павліва,2023-02-10 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71689,"Найпотужніший орган Львова має почути кожен! Інструмент Львівського органного залу є унікальним: він має 3 мануали, 60 регістрів та майже 5 тисяч труб! Йому підвладні як шедеври Йоганна Себастьяна Баха, так і твори сучасних композиторів.",,100,200,2023-02-10 20:00:00
33,Вальси Шопена. Андрій Макаревич,2023-02-12 14:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71690,"Ліричні та меланхолійні, феєричні та святкові. Вальси Фридерика Шопена – феномен у світі музики. Віртуозний піаніст писав музику так, щоб звучанням лише одного рояля змусити людину переживати найсильніші емоції в своєму житті. Це і не дивно, бо Шопен щодня грав “Добре темперований клавір” Баха і досконало знав барокові музичні прийоми. У творах романтика не лише легкість, порив і натхнення, у них туга, стурбованість, любов до своєї батьківщини – Польщі, з якою митець змушений бути в розлуці. Його ноктюрни (з франц. “нічні пісні”) так само глибокі і проникливі, бо у Шопена це не пісні-серенади, як може здатися на перший погляд, це нічні молитви, момент самозаглиблення, прохання і покори.",#Класика ,100,200,2023-02-12 15:00:00
34,Американська та українська камерна музика,2023-02-12 17:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget193site11290/widget/event/71907,Сучасна американська камерна музика звучатиме у Львівському органному залі. Цього вечора відкриваємо твори піаніста та композитора зі США Еммануеля Сікори.,#Класика ,100,200,2023-02-12 18:00:00
35,Імпровізаційне шоу «Ти б здивувався»,2023-02-03 19:00:00,230,Довгі бурхливі оплески,"проїзд Крива липа (вхід з вулиці Січових Стрільців, 3)",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/72979,"Імпровізаційне шоу «Ти б здивувався» - це стендап від чотирьох коміків одночасно! Кожен з них розповідає свою історію, від якої він здивувався, а інші троє вигадують варіанти розвитку подій, щоб здивувати його ще більше.",#Гумор ,250,250,2023-02-03 22:50:00
36,"Стендап Тур Алли Волковой ""Я така людина""",2023-02-03 19:30:00,230,"Студія ""Драбина""",пл. Петрушевича 3,https://widget.kontramarka.ua/uk/widget193site12390/widget/event/71849,"Жінки цитуюють її жарти і хочуть бути її подругами. Чоловіки одночасно і хочуть, і бояться стати героями її стендапу.",#Гумор ,250,250,2023-02-03 23:20:00
37,Стендап Тур Алла Волкова і Марк Свиридюк,2023-02-18 20:00:00,230,"Студія ""Драбина""",пл. Петрушевича 3,https://widget.kontramarka.ua/uk/widget193site12390/widget/event/70005,"Stand Up Тур Алла Волкова і Марк Свиридюк, Львів",#Гумор ,300,300,2023-02-18 23:50:00
38,"Ватра і Василь Зінкевич ""Від Миколая до Йордана""",2023-02-12 17:00:00,120,Палац культури залізничників «Рокс»,"м. Львів. вул. Ю. Федьковича, 54",https://widget.kontramarka.ua/uk/widget193site11281/widget/event/100153698,Свій кожен творчий рік славетна «Ватра» розпочинає Різдв’яно-новорічною програмою «Від Миколая до Йордана»,,200,450,2023-02-12 19:00:00
39,"Culture Club UA ""Знову з вами""",2023-02-26 17:00:00,120,Палац культури залізничників «Рокс»,"м. Львів. вул. Ю. Федьковича, 54",https://widget.kontramarka.ua/uk/widget193site11281/widget/event/100154071,,,200,450,2023-02-26 19:00:00
40,SHUMEI,2023-02-14 19:00:00,120,Львівський Цирк,"вул. Городоцька, 83, Львів",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153887,"Бути сильними та незламними, підтримувати українську армію та український народ - це те, що поставив собі за мету гурт SHUMEI, й роблять музиканти це з великим успіхом. А яскравим доказом цього може бути тільки їх концерт!",,360,720,2023-02-14 21:00:00
41,Шоу «Злучка»,2023-02-14 19:00:00,230,Lviv Film Center,"м. Львів, вул. Володимира Великого, 14А",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/72692,"Думаєте, що романтичні історії у День Закоханих то таке собі? А що ви скажете, коли дізнаєтесь, що коміки Stendup UA спеціально до Дня Закоханих  підготували шоу «Злучка» у жанрі романтичної комедії? Інша справа, так?",#Гумор ,450,450,2023-02-14 22:50:00
42,Сватання на Гончарівці,2023-02-02 18:00:00,160,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70212,"Сватання на Гончарівці - п'єса, яка була написана відомим українським автором Григорій Квітка-Основ'яненко багато років тому. Але навіть зараз завдяки своєму неповторному колориту, веселим діалогам, що сповнені найрізноманітнішими людськими перипетіями, вона залишається популярною. Адже любовні інтриги, весілля і все, що з ними пов'язано - завжди було і буде актуально, особливо, якщо добре приправлене дрібкою добірного гумору. Купити квитки можна від 50 до 300 гривень за місце на сайті Контрамарка, або в міських касах Львова.",#Комедія ,60,300,2023-02-02 20:40:00
43,Сватання на Гончарівці,2023-03-03 18:00:00,160,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70234,"Сватання на Гончарівці - п'єса, яка була написана відомим українським автором Григорій Квітка-Основ'яненко багато років тому. Але навіть зараз завдяки своєму неповторному колориту, веселим діалогам, що сповнені найрізноманітнішими людськими перипетіями, вона залишається популярною. Адже любовні інтриги, весілля і все, що з ними пов'язано - завжди було і буде актуально, особливо, якщо добре приправлене дрібкою добірного гумору. Купити квитки можна від 50 до 300 гривень за місце на сайті Контрамарка, або в міських касах Львова.",#Комедія ,60,300,2023-03-03 20:40:00
44,Сватання на Гончарівці,2023-03-23 18:00:00,160,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/73231,"Сватання на Гончарівці - п'єса, яка була написана відомим українським автором Григорій Квітка-Основ'яненко багато років тому. Але навіть зараз завдяки своєму неповторному колориту, веселим діалогам, що сповнені найрізноманітнішими людськими перипетіями, вона залишається популярною. Адже любовні інтриги, весілля і все, що з ними пов'язано - завжди було і буде актуально, особливо, якщо добре приправлене дрібкою добірного гумору. Купити квитки можна від 50 до 300 гривень за місце на сайті Контрамарка, або в міських касах Львова.",#Комедія ,60,300,2023-03-23 20:40:00
45,КОНОТОПСЬКА ВІДЬМА,2023-02-03 18:00:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70213,У Театрі Заньковецької зустрічайте  першу  прем’єру  2021 року - гопак-оперу  “Конотопська відьма” у Львові! На вас чекає нова інтерпретація знайомого твору класика української літератури Квітки-Основ'яненка.,,60,300,2023-02-03 20:00:00
46,КОНОТОПСЬКА ВІДЬМА,2023-03-16 18:00:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/73224,У Театрі Заньковецької зустрічайте  першу  прем’єру  2021 року - гопак-оперу  “Конотопська відьма” у Львові! На вас чекає нова інтерпретація знайомого твору класика української літератури Квітки-Основ'яненка.,,60,300,2023-03-16 20:00:00
47,БЕЗ ІНТИМУ,2023-02-03 18:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70118,,,150,150,2023-02-03 19:30:00
48,БЕЗ ІНТИМУ,2023-02-09 18:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70125,,,150,150,2023-02-09 19:30:00
49,БЕЗ ІНТИМУ,2023-02-28 18:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70136,,,150,150,2023-02-28 19:30:00
50,Івасик Телесик,2023-02-04 11:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70214,"На великій сцені Театру Заньковецької відбудеться дитяча вистава “Івасик Телесик” у Львові за мотивами української народної казки. Зазвичай, у репертуарі нашого театру віддають перевагу дорослим постановкам. Проте ця вистава стала приємним виключенням і для постановного складу, і для глядачів.",#Казка ,60,180,2023-02-04 12:30:00
51,ПРИБОРКАННЯ НОРОВЛИВОГО,2023-02-04 17:00:00,230,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70215,"Герой нашої комедії красивий, розумний і дуже норовливий Граф. Він гульвіса і розбишака. Його життя – це друзі, вечірки, полювання та у його плани зовсім не входить одруження. Але…За умовами батьківського заповіту він повинен одружитися або позбудеться спадку. Та й обраниця Оляна, яку бачив ще малим бісеням, йому не до вподоби. Вихід із ситуації для самовпевненого чоловічого розуму є. За келихом шампана з друзями визріває хитромудрий план з переодяганням як позбутися нареченої та вберегти батьківський спадок.",#Комедія ,60,300,2023-02-04 20:50:00
52,ПРИБОРКАННЯ НОРОВЛИВОГО,2023-02-11 13:00:00,230,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70221,"Герой нашої комедії красивий, розумний і дуже норовливий Граф. Він гульвіса і розбишака. Його життя – це друзі, вечірки, полювання та у його плани зовсім не входить одруження. Але…За умовами батьківського заповіту він повинен одружитися або позбудеться спадку. Та й обраниця Оляна, яку бачив ще малим бісеням, йому не до вподоби. Вихід із ситуації для самовпевненого чоловічого розуму є. За келихом шампана з друзями визріває хитромудрий план з переодяганням як позбутися нареченої та вберегти батьківський спадок.",#Комедія ,60,300,2023-02-11 16:50:00
53,ПРИБОРКАННЯ НОРОВЛИВОГО,2023-02-19 17:00:00,230,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/70231,"Герой нашої комедії красивий, розумний і дуже норовливий Граф. Він гульвіса і розбишака. Його життя – це друзі, вечірки, полювання та у його плани зовсім не входить одруження. Але…За умовами батьківського заповіту він повинен одружитися або позбудеться спадку. Та й обраниця Оляна, яку бачив ще малим бісеням, йому не до вподоби. Вихід із ситуації для самовпевненого чоловічого розуму є. За келихом шампана з друзями визріває хитромудрий план з переодяганням як позбутися нареченої та вберегти батьківський спадок.",#Комедія ,60,300,2023-02-19 20:50:00
54,ПРИБОРКАННЯ НОРОВЛИВОГО,2023-03-05 17:00:00,230,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/73217,"Герой нашої комедії красивий, розумний і дуже норовливий Граф. Він гульвіса і розбишака. Його життя – це друзі, вечірки, полювання та у його плани зовсім не входить одруження. Але…За умовами батьківського заповіту він повинен одружитися або позбудеться спадку. Та й обраниця Оляна, яку бачив ще малим бісеням, йому не до вподоби. Вихід із ситуації для самовпевненого чоловічого розуму є. За келихом шампана з друзями визріває хитромудрий план з переодяганням як позбутися нареченої та вберегти батьківський спадок.",#Комедія ,60,300,2023-03-05 20:50:00
55,ПРИБОРКАННЯ НОРОВЛИВОГО,2023-03-12 13:00:00,230,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/73221,"Герой нашої комедії красивий, розумний і дуже норовливий Граф. Він гульвіса і розбишака. Його життя – це друзі, вечірки, полювання та у його плани зовсім не входить одруження. Але…За умовами батьківського заповіту він повинен одружитися або позбудеться спадку. Та й обраниця Оляна, яку бачив ще малим бісеням, йому не до вподоби. Вихід із ситуації для самовпевненого чоловічого розуму є. За келихом шампана з друзями визріває хитромудрий план з переодяганням як позбутися нареченої та вберегти батьківський спадок.",#Комедія ,60,300,2023-03-12 16:50:00
56,ПРИБОРКАННЯ НОРОВЛИВОГО,2023-03-18 17:00:00,230,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/73227,"Герой нашої комедії красивий, розумний і дуже норовливий Граф. Він гульвіса і розбишака. Його життя – це друзі, вечірки, полювання та у його плани зовсім не входить одруження. Але…За умовами батьківського заповіту він повинен одружитися або позбудеться спадку. Та й обраниця Оляна, яку бачив ще малим бісеням, йому не до вподоби. Вихід із ситуації для самовпевненого чоловічого розуму є. За келихом шампана з друзями визріває хитромудрий план з переодяганням як позбутися нареченої та вберегти батьківський спадок.",#Комедія ,60,300,2023-03-18 20:50:00
57,ПРИБОРКАННЯ НОРОВЛИВОГО,2023-03-26 17:00:00,230,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site17/widget/event/73235,"Герой нашої комедії красивий, розумний і дуже норовливий Граф. Він гульвіса і розбишака. Його життя – це друзі, вечірки, полювання та у його плани зовсім не входить одруження. Але…За умовами батьківського заповіту він повинен одружитися або позбудеться спадку. Та й обраниця Оляна, яку бачив ще малим бісеням, йому не до вподоби. Вихід із ситуації для самовпевненого чоловічого розуму є. За келихом шампана з друзями визріває хитромудрий план з переодяганням як позбутися нареченої та вберегти батьківський спадок.",#Комедія ,60,300,2023-03-26 20:50:00
